Name,FriendlySpawns,EnemySpawns,CameraPos,CameraZoom,CameraAnim,EndTick
Firefly,bs!Artemis!-2035!19!322!0_m!Firefly!-1849!-569!284!3000_m!Firefly!-1235!644!277!4000,m!Firefly!2670!-864!55!1000_bs!Artemis!2319!-444!149!0,-1570!0,4000,3000!0!180,280
FireflySquad,bs!Artemis!-1575!0!271!0_m!FireflySquad!-1289!855!246!2000,f!Destroyer!1759!0!55!0,0!0,3000,0!0!0,220
FireflyStealth,bs!Artemis!-1874!-194!343!0_m!FireflyStealth!839!-234!0!2000_m!FireflyStealth!620!949!0!4000_m!FireflyStealth!-785!-170!0!6000_m!FireflyStealth!-419!9!0!8000_m!FireflyStealth!234!634!0!10000,bs!Artemis!2904!-3299!343!0_m!FireflySquad!1715!-124!55!1000,0!0,3000,0!0!0,400
Arrow,bs!Artemis!0!0!73!0_m!Arrow!-994!-485!263!1000_m!Arrow!-615!2779!263!3000_m!Arrow!2755!340!263!5000,bs!Artemis!5635!3124!131!0,-180!4,5000,3000!2000!100,400
ArrowFactory,bs!Artemis!-3565!1504!340!0_m!ArrowFactory!-5219!1029!0!1000,bs!Artemis!1500!0!340!0,0!0,8000,0!0!0,400
Bomber,bs!Artemis!0!0!73!0_m!Bomber!-984!-204!267!3000_m!Firefly!550!764!267!11000_m!Bomber!1705!54!267!6000,bs!Artemis!5635!3124!131!0_m!Firefly!6644!3644!91!0_m!Firefly!5920!3285!91!2000_m!Firefly!5719!2740!91!4000_m!Firefly!4809!3344!91!5000_m!Firefly!4980!2749!91!7000_m!Firefly!4590!2325!91!10000,379!165,6000,3000!2000!200,400
Ghost,bs!Artemis!-1899!254!301!0_m!Ghost!-740!754!252!2000_m!Ghost!-1370!0!276!4000_m!Ghost!-879!270!251!6000_m!Ghost!-1179!-589!284!8000,bs!Artemis!2170!-270!110!0_m!Firefly!1384!-545!66!3000_m!Firefly!1120!-545!76!6000_m!Firefly!1705!-39!84!9000_m!Firefly!1874!469!92!12000_m!Firefly!1130!-19!69!15000_m!Firefly!1585!-685!75!18000_m!Firefly!1384!-310!80!21000_m!Firefly!1799!-365!81!24000_m!Firefly!1499!189!80!27000,0!0,5000,0!0!0,400
GhostFactory,bs!Artemis!-1899!254!301!0_m!GhostFactory!-740!754!252!2000,bs!Artemis!2170!-270!110!0_m!Firefly!1874!469!92!12000,0!0,5000,0!0!0,600
Interceptor,bs!Artemis!-5550!-14!120!0_m!Interceptor!-2779!29!270!2000,bs!Artemis!5940!-64!120!0_m!Firefly!494!0!0!1000_m!Firefly!1419!0!0!3000_m!FireflySquad!2575!-215!0!4000,-2390!0,4000,3000!0!180,280
Titan,bs!Artemis!-3854!4!9!0_m!Titan!-1924!100!270!2000,bs!Artemis!1575!-29!82!0_m!Interceptor!700!0!45!0,0!0,3000,0!0!0,400
DartLauncher,bs!Artemis!-7025!4579!79!0_m!DartLauncher!-4550!2269!270!2000,bs!Ares!3259!-115!336!0,-4284!2660,6000,3000!-2000!140,400
Cyclops,bs!Artemis!-3180!-185!82!0_m!Cyclops!-1355!100!270!4000,bs!Artemis!1864!45!82!0,-3130!0,5000,4000!0!160,400
Destroyer,bs!Artemis!-3474!70!186!0_m!Destroyer!-1950!29!186!7000,bs!Artemis!1460!-29!91!0_m!Titan!2894!-29!91!4000,0!0,5000,0!0!0,400
MeteorShower,bs!Artemis!0!0!73!0_m!Colossus!-499!0!55!1000_m!MeteorShower!3124!1619!0!8000_m!Firefly!1845!675!0!12000,bs!Artemis!5635!3124!131!0_m!Firefly!6684!2440!0!2000_m!Firefly!4270!2440!0!4000_m!Firefly!5195!1705!0!6000_m!Firefly!4815!2440!0!8000,70!-14,6000,3000!2000!200,400
IonBlast,bs!Artemis!-1480!-224!319!0_m!IonBlast!-104!-64!319!6000,bs!Artemis!4605!204!319!0_m!FireflySquad!1184!109!270!1000_m!Carrier!1485!-474!270!4000,0!0,3000,0!0!0,400
Portal,bs!Artemis!-7059!1054!82!0_m!Portal!-899!0!0!0,bs!Artemis!800!-50!82!0,0!0,2430,0!0!0,400
EMP,bs!Artemis!-1350!-50!260!0_m!EMP!704!0!0!10000_m!FireflySquad!1080!-874!0!11000,f!Cyclops!2180!100!110!0,-1360!0,4000,2500!0!160,400
Carrier,bs!Artemis!0!0!73!0_m!Carrier!-499!0!55!1000_m!Firefly!670!675!0!8000_m!Firefly!1340!444!0!9000_m!Firefly!1845!170!0!10000,bs!Artemis!5635!3124!131!0_m!Bomber!6684!2440!0!2000_m!Bomber!4270!2440!0!4000_m!Bomber!5195!1705!0!6000,379!165,6000,3000!2000!200,500
HydroBoost,bs!Apollo!-3019!0!260!0_m!HydroBoost!-2460!834!260!4000,bs!Apollo!2734!25!90!0,0!0,5000,0!0!0,400
FireflyFactory,bs!Artemis!-3019!0!260!0_m!FireflyFactory!-2460!889!260!4000,bs!Artemis!2734!25!90!0,0!0,5000,0!0!0,400
AreaShield,bs!Artemis!-6260!1849!73!0_m!Arrow!-3234!-174!263!100_m!Arrow!-1115!-839!296!2000_m!Arrow!-2200!634!264!4000_m!AreaShield!-690!-70!47!7000,bs!Artemis!1840!0!73!0_m!Firefly!1559!305!47!3000,-1115!0,5000,2000!0!60,350
Spikes,bs!Artemis!-1004!-300!0!0_m!Vortex!1335!0!0!12000,bs!Artemis!4420!0!0!0_m!FireflySquad!2749!0!0!0_m!FireflySquad!2880!0!0!2000,0!0,3200,0!0!0,400
StealthTank,bs!Artemis!0!0!73!0_m!StealthTank!-499!0!55!1000,bs!Artemis!5635!3124!131!0_m!Firefly!6684!2440!0!2000_m!Firefly!4270!2440!0!4000_m!Firefly!5195!1705!0!6000_m!Firefly!4815!2440!0!8000,180!119,6000,3000!2000!200,400
BSApollo,bs!Apollo!0!0!-45!0,,0!0,3000,,500
BSAres,bs!Ares!0!0!-45!0,,0!0,3000,,500
BSStart,bs!Artemis!0!0!-45!0,,0!0,3000,,500
Colossus,bs!Artemis!0!0!73!0_m!Colossus!-499!0!55!1000_m!Firefly!670!675!0!8000_m!Firefly!1340!444!0!9000_m!Firefly!1845!170!0!10000,bs!Artemis!5635!3124!131!0_m!Firefly!6684!2440!0!2000_m!Firefly!4270!2440!0!4000_m!Firefly!5195!1705!0!6000_m!Firefly!4815!2440!0!8000,180!119,6000,3000!2000!200,400
Decay,bs!Artemis!-1149!35!0!0_m!Decay!1029!-189!0!7000,bs!Artemis!-5704!589!358!0_m!FireflySquad!3589!-155!246!4000,0!0,5000,4000!0!200,400
